essay_id,true_score,model,perturbation,group,orig_score,pert_score,shift,abs_shift
423A1CA112E2,3,BERT,P1_lexical_formality,Stylistic,3.2784624099731445,3.2483718395233154,-0.0300905704498291,0.0300905704498291
A8445CABFECE,3,BERT,P1_lexical_formality,Stylistic,3.027484893798828,3.02787446975708,0.0003895759582519531,0.0003895759582519531
6B4F7A0165B9,4,BERT,P1_lexical_formality,Stylistic,3.3076930046081543,3.2956809997558594,-0.012012004852294922,0.012012004852294922
E05C7F5C1156,4,BERT,P1_lexical_formality,Stylistic,4.363166809082031,4.358049392700195,-0.0051174163818359375,0.0051174163818359375
50B3435E475B,4,BERT,P1_lexical_formality,Stylistic,3.903456687927246,3.9166111946105957,0.01315450668334961,0.01315450668334961
DBF7EB6A9E02,5,BERT,P1_lexical_formality,Stylistic,4.649989128112793,4.621851444244385,-0.028137683868408203,0.028137683868408203
810B70E80E1D,4,BERT,P1_lexical_formality,Stylistic,3.954346179962158,3.955308198928833,0.0009620189666748047,0.0009620189666748047
CE98789F502B,4,BERT,P1_lexical_formality,Stylistic,4.664426803588867,4.591438293457031,-0.07298851013183594,0.07298851013183594
A97DE0D49AEA,3,BERT,P1_lexical_formality,Stylistic,4.193334102630615,4.196862697601318,0.003528594970703125,0.003528594970703125
48D3F4243F0F,2,BERT,P1_lexical_formality,Stylistic,3.014958381652832,2.9101643562316895,-0.10479402542114258,0.10479402542114258
AC594194F01C,2,BERT,P1_lexical_formality,Stylistic,2.3920230865478516,2.398780345916748,0.006757259368896484,0.006757259368896484
4F0E197053FF,4,BERT,P1_lexical_formality,Stylistic,4.832579135894775,4.803682804107666,-0.028896331787109375,0.028896331787109375
C3811E7F1750,3,BERT,P1_lexical_formality,Stylistic,3.158994197845459,3.1721158027648926,0.013121604919433594,0.013121604919433594
86C1ED49C35F,3,BERT,P1_lexical_formality,Stylistic,2.830315589904785,2.7587764263153076,-0.07153916358947754,0.07153916358947754
019328A0D7A3,6,BERT,P1_lexical_formality,Stylistic,4.919543266296387,4.9181318283081055,-0.00141143798828125,0.00141143798828125
4B6C254FEE39,4,BERT,P1_lexical_formality,Stylistic,5.200519561767578,5.170459747314453,-0.030059814453125,0.030059814453125
F054050F442F,3,BERT,P1_lexical_formality,Stylistic,3.3128087520599365,3.385655164718628,0.0728464126586914,0.0728464126586914
4C30EEDA3A8F,4,BERT,P1_lexical_formality,Stylistic,3.7713286876678467,3.760364055633545,-0.010964632034301758,0.010964632034301758
20FD63F49519,4,BERT,P1_lexical_formality,Stylistic,4.433892250061035,4.3269195556640625,-0.10697269439697266,0.10697269439697266
21730F71662E,4,BERT,P1_lexical_formality,Stylistic,4.109824180603027,4.112454414367676,0.0026302337646484375,0.0026302337646484375
A783D3241786,5,BERT,P1_lexical_formality,Stylistic,4.096896648406982,4.071083068847656,-0.025813579559326172,0.025813579559326172
DE628D1F2F9D,4,BERT,P1_lexical_formality,Stylistic,3.527606248855591,3.477668046951294,-0.049938201904296875,0.049938201904296875
1B1FA8C3F4F9,4,BERT,P1_lexical_formality,Stylistic,4.356871604919434,4.315380096435547,-0.04149150848388672,0.04149150848388672
2E98ECF2CA61,4,BERT,P1_lexical_formality,Stylistic,4.603811264038086,4.615962028503418,0.012150764465332031,0.012150764465332031
D0CBBD43827C,5,BERT,P1_lexical_formality,Stylistic,4.514438629150391,4.476923942565918,-0.037514686584472656,0.037514686584472656
E34D7384EE70,4,BERT,P1_lexical_formality,Stylistic,3.2478926181793213,3.1816916465759277,-0.06620097160339355,0.06620097160339355
CC296299ABA4,5,BERT,P1_lexical_formality,Stylistic,5.063640594482422,5.0258307456970215,-0.03780984878540039,0.03780984878540039
62644C50869C,4,BERT,P1_lexical_formality,Stylistic,4.9576921463012695,4.972768783569336,0.015076637268066406,0.015076637268066406
D7D83D1EBFDB,3,BERT,P1_lexical_formality,Stylistic,2.8686270713806152,2.8741261959075928,0.005499124526977539,0.005499124526977539
7E29804EE125,3,BERT,P1_lexical_formality,Stylistic,3.4249162673950195,3.4639511108398438,0.03903484344482422,0.03903484344482422
1CCC2C060AA2,3,BERT,P1_lexical_formality,Stylistic,2.9177746772766113,2.931220769882202,0.01344609260559082,0.01344609260559082
0421128DEE6C,4,BERT,P1_lexical_formality,Stylistic,3.4344303607940674,3.416605234146118,-0.01782512664794922,0.01782512664794922
42048FB6EC2B,4,BERT,P1_lexical_formality,Stylistic,3.939094066619873,3.9551126956939697,0.01601862907409668,0.01601862907409668
7FF6281EC288,4,BERT,P1_lexical_formality,Stylistic,3.4956836700439453,3.506618022918701,0.01093435287475586,0.01093435287475586
5B8AD3907163,3,BERT,P1_lexical_formality,Stylistic,2.8980960845947266,2.8999433517456055,0.0018472671508789062,0.0018472671508789062
89808E74DDC5,5,BERT,P1_lexical_formality,Stylistic,4.808393478393555,4.767321586608887,-0.04107189178466797,0.04107189178466797
2F2607C7D8F7,5,BERT,P1_lexical_formality,Stylistic,4.308190822601318,4.278157711029053,-0.030033111572265625,0.030033111572265625
B7F586D0260C,3,BERT,P1_lexical_formality,Stylistic,3.473842144012451,3.454467296600342,-0.019374847412109375,0.019374847412109375
